ID,Fi,Lambda,E_utm,N_utm,distance_m,label_text,epoch_col,epoch_date,risk_pk,top20
D30001300142,-12.64560344,28.03585521,612492.3775678241,8601832.496428797,57.15486756048835,buffer,D20250206,2025-02-06,0.0005128205,0
D30001300144,-12.64558932,28.03579454,612485.7944213571,8601834.084178554,50.4203537900098,buffer,D20250206,2025-02-06,0.9369231,1
D30001300145,-12.64558226,28.03576421,612482.5033909389,8601834.878050689,47.05363539172972,buffer,D20250206,2025-02-06,0.93811965,1
D30001300147,-12.64556814,28.03570354,612475.9202435471,8601836.465798069,40.31912101612934,buffer,D20250206,2025-02-06,0.41709402,0
D30001300148,-12.64556108,28.03567321,612472.6292126663,8601837.259669015,36.95240231517293,buffer,D20250206,2025-02-06,0.20871794,0
D30001300192,-12.64523007,28.03425209,612318.4270288178,8601874.479686804,0.0,core,D20250206,2025-02-06,0.0049572648,0
D30001300197,-12.64519187,28.03408811,612300.6339489366,8601878.774973432,0.0,core,D20250206,2025-02-06,0.5841026,0
D30001300204,-12.6451367,28.03385135,612274.9436831392,8601884.978352781,0.0,core,D20250206,2025-02-06,0.33948717,0
D30001300210,-12.64508856,28.03364481,612252.532515346,8601890.391229106,0.0,core,D20250206,2025-02-06,0.6025641,0
D30001300211,-12.64508057,28.03361053,612248.8128728154,8601891.289625237,0.0,core,D20250206,2025-02-06,0.80188036,0
D30001300215,-12.64504871,28.03347383,612233.9798730277,8601894.871964596,0.0,core,D20250206,2025-02-06,0.9211966,1
D30001300219,-12.6450194,28.03334796,612220.3219973232,8601898.167622443,0.0,core,D20250206,2025-02-06,0.6422222,0
D30001300220,-12.64501213,28.03331675,612216.935469817,8601898.985065933,0.0,core,D20250206,2025-02-06,0.6728205,0
D30001300229,-12.64494598,28.0330327,612186.1138231781,8601906.423024967,0.0,core,D20250206,2025-02-06,0.4825641,0
D30001300230,-12.6449386,28.033001,612182.6741233801,8601907.252840247,0.0,core,D20250206,2025-02-06,0.2919658,0
D30001300234,-12.64490914,28.03287451,612168.9489652674,8601910.56532818,0.0,core,D20250206,2025-02-06,0.7936752,0
D30001300341,-12.6441237,28.02950182,611802.9845990967,8601998.87794272,144.88285944685947,near-field,D20250206,2025-02-06,0.85811967,0
D30001300428,-12.64351013,28.02686625,611517.0023451304,8602067.862963315,200.26926087317793,near-field,D20250206,2025-02-06,0.23606838,0
D30001300429,-12.64350302,28.02683571,611513.688482919,8602068.662338357,200.9110598777731,near-field,D20250206,2025-02-06,0.55675215,0
D30001300431,-12.64348839,28.0267729,611506.8730407269,8602070.307170102,202.23181256552652,near-field,D20250206,2025-02-06,0.89726496,0
D30001300492,-12.64305945,28.02493041,611306.9461402979,8602118.531982511,240.9499889496454,near-field,D20250206,2025-02-06,0.9880342,1
D30001300493,-12.64305234,28.02489987,611303.6322681672,8602119.331332117,241.59176207741376,near-field,D20250206,2025-02-06,0.9993162,1
D30001400117,-12.64589056,28.0365288,612565.4099489965,8601800.451355936,133.75900852907938,near-field,D20250206,2025-02-06,0.4225641,0
D30001400122,-12.64585919,28.03639385,612550.7668753142,8601803.978921006,118.77978344156007,near-field,D20250206,2025-02-06,0.43675214,0
D30001400125,-12.64583982,28.03631058,612541.7314684117,8601806.157054178,109.5367633893547,near-field,D20250206,2025-02-06,0.8305983,0
D30001400127,-12.64582678,28.0362545,612535.6463734033,8601807.623394316,103.31192170765819,near-field,D20250206,2025-02-06,0.6738461,0
D30001400129,-12.64581345,28.03619719,612529.4278154987,8601809.12233599,96.95049431066828,buffer,D20250206,2025-02-06,0.16991453,0
D30001400133,-12.64578758,28.03608597,612517.3596235698,8601812.031379286,84.60502795838221,buffer,D20250206,2025-02-06,0.6025641,0
D30001400135,-12.64577491,28.03603147,612511.44596707,8601813.456112724,78.55560059430232,buffer,D20250206,2025-02-06,0.64358974,0
D30001400138,-12.64575528,28.03594705,612502.2857683016,8601815.66348328,69.18503215639045,buffer,D20250206,2025-02-06,0.8446154,0
D30001400142,-12.64572703,28.03582571,612489.1194878148,8601818.840092536,55.71587141934791,buffer,D20250206,2025-02-06,0.9437607,1
D30001400207,-12.64523706,28.03372215,612260.8674967585,8601873.934004188,0.0,core,D20250206,2025-02-06,0.25111112,0
D30001400211,-12.64520574,28.03358773,612246.2819008172,8601877.455648893,0.0,core,D20250206,2025-02-06,0.2,0
D30001400215,-12.64517428,28.03345275,612231.635541709,8601880.993009953,0.0,core,D20250206,2025-02-06,0.3765812,0
D30001400229,-12.64506952,28.03300298,612182.8320155764,8601892.772289531,0.0,core,D20250206,2025-02-06,0.7911111,0
D30001400429,-12.6436276,28.02681043,611510.8887692438,8602054.894635482,187.0263815871157,near-field,D20250206,2025-02-06,0.010940171,0
D30001400431,-12.64361301,28.02674776,611504.0885183426,8602056.534983192,188.34337351091165,near-field,D20250206,2025-02-06,0.9753846,1
D30001400492,-12.64318403,28.02490514,611304.1476116861,8602104.764262943,227.06535001537262,near-field,D20250206,2025-02-06,0.98820513,1
D30001400493,-12.64317692,28.02487461,611300.8348272421,8602105.563608097,227.70717012308853,near-field,D20250206,2025-02-06,0.9955556,1
D30001500081,-12.64627253,28.03760917,612682.5806033938,8601757.740545291,255.518961952375,near-field,D20250206,2025-02-06,0.72683764,0
D30001500108,-12.64607817,28.03677432,612591.9934779052,8601779.596103018,162.84798350872424,near-field,D20250206,2025-02-06,0.6131624,0
D30001500113,-12.64604259,28.03662145,612575.405985696,8601783.597017847,145.87905624090718,near-field,D20250206,2025-02-06,0.23128206,0
D30001500114,-12.64603548,28.03659092,612572.0932629592,8601784.396517077,142.49009491391035,near-field,D20250206,2025-02-06,0.6810256,0
D30001500115,-12.64602827,28.03655998,612568.7360541177,8601785.20725227,139.0555581657795,near-field,D20250206,2025-02-06,0.0056410255,0
D30001500116,-12.64602144,28.0365306,612565.5481089458,8601785.975288032,135.7944229844374,near-field,D20250206,2025-02-06,0.6996581,0
D30001500117,-12.64601552,28.03650514,612562.7855129302,8601786.640991312,132.96838364449508,near-field,D20250206,2025-02-06,0.57897437,0
D30001500121,-12.64599204,28.03640405,612551.8164970598,8601789.28135908,121.74783529805917,near-field,D20250206,2025-02-06,0.0,0
D30001500122,-12.64598616,28.03637872,612549.0680021773,8601789.942581065,118.93636299903758,near-field,D20250206,2025-02-06,0.74871796,0
D30001500126,-12.64596203,28.03627488,612537.8005935964,8601792.65601592,107.4104167557511,near-field,D20250206,2025-02-06,0.4940171,0
D30001500128,-12.64594822,28.03621556,612531.363944854,8601794.20891066,100.82570648162961,near-field,D20250206,2025-02-06,0.018974358,0
D30001500338,-12.64439254,28.02953583,611806.5614524983,8601969.129842578,115.33714493622875,near-field,D20250206,2025-02-06,0.5774359,0
D30001500492,-12.64330781,28.02487642,611300.9747273443,8602091.086489875,213.2528571519695,near-field,D20250206,2025-02-06,0.98205125,1
D30001500493,-12.64330059,28.02484542,611297.6109454248,8602091.898200586,213.90461778647378,near-field,D20250206,2025-02-06,0.6454701,0
D30001500494,-12.64329329,28.02481409,611294.2113567011,8602092.718899168,214.5742997233602,near-field,D20250206,2025-02-06,0.9634188,1
D30001600099,-12.6462651,28.03701695,612618.2633863407,8601758.817273583,191.61602417474688,near-field,D20250206,2025-02-06,0.8261539,0
D30001600102,-12.64624453,28.03692852,612608.6681005127,8601761.130370272,181.8002610385334,near-field,D20250206,2025-02-06,0.89965814,0
D30001600103,-12.64623775,28.03689941,612605.5094613462,8601761.89276464,178.56891859114745,near-field,D20250206,2025-02-06,0.911453,1
D30001600106,-12.646217,28.03681021,612595.8306236538,8601764.226096157,168.66767152516616,near-field,D20250206,2025-02-06,0.78547007,0
D30001600107,-12.64620988,28.03677963,612592.5124775257,8601765.026725516,165.27318543747964,near-field,D20250206,2025-02-06,0.77111113,0
D30001600109,-12.64619564,28.03671847,612585.8761847992,8601766.627983024,158.48421295438473,near-field,D20250206,2025-02-06,0.66615385,0
D30001600113,-12.64616718,28.03659622,612572.6111913417,8601769.8282511,144.9140890869076,near-field,D20250206,2025-02-06,0.5864957,0
D30001600114,-12.64616008,28.03656571,612569.3006379929,8601770.626635531,141.52742461079882,near-field,D20250206,2025-02-06,0.5586325,0
D30001600115,-12.64615292,28.03653494,612565.9618724041,8601771.4317674,138.11190666881964,near-field,D20250206,2025-02-06,0.6018804,0
D30001600121,-12.64611717,28.03638107,612549.2658479997,8601775.451899245,121.0328643667912,near-field,D20250206,2025-02-06,0.24068376,0
D30001600337,-12.64452408,28.02954043,611807.0038265444,8601954.579618573,100.82410915075269,near-field,D20250206,2025-02-06,0.5047863,0
D30001600339,-12.64450952,28.02947791,611800.2198897686,8601956.21665838,102.13856821565508,near-field,D20250206,2025-02-06,0.5225641,0
D30001600430,-12.64386992,28.02673046,611502.0981026595,8602028.128259903,159.8743107891246,near-field,D20250206,2025-02-06,0.17196581,0
D30001600493,-12.64342394,28.02481491,611294.2438396732,8602078.268745957,200.1362497577532,near-field,D20250206,2025-02-06,0.81982905,0
D30001600494,-12.64341664,28.02478356,611290.8420803506,8602079.089452768,200.84890663749835,near-field,D20250206,2025-02-06,0.31504273,0
D30001600495,-12.64340934,28.02475221,611287.4403208632,8602079.910159154,201.61978823647593,near-field,D20250206,2025-02-06,0.90649575,0
D30001600496,-12.64340203,28.02472086,611284.0385655408,8602080.731971111,202.4493353218576,near-field,D20250206,2025-02-06,0.9220513,1
D30001600497,-12.64339473,28.0246895,611280.6357196247,8602081.552680906,203.33466613538693,near-field,D20250206,2025-02-06,0.965641,1
D30001700058,-12.64668545,28.03826205,612753.3081129165,8601711.790420288,331.6617001740394,near-field,D20250206,2025-02-06,0.5779487,0
D30001700099,-12.64638908,28.03698908,612615.1821117923,8601745.117111491,190.35805397635139,near-field,D20250206,2025-02-06,0.91846156,1
D30001700100,-12.64638252,28.03696089,612612.123298442,8601745.854778837,187.2289179815309,near-field,D20250206,2025-02-06,0.9328205,1
D30001700102,-12.64636931,28.03690409,612605.9600949921,8601747.340247236,180.92413389962195,near-field,D20250206,2025-02-06,0.98205125,1
D30001700103,-12.64636266,28.0368755,612602.8578770693,8601748.088039672,177.75064035904828,near-field,D20250206,2025-02-06,0.925641,1
D30001700105,-12.64634936,28.03681832,612596.6534408125,8601749.583623488,171.4036530087769,near-field,D20250206,2025-02-06,0.665641,0
D30001700106,-12.64634241,28.03678846,612593.4134204594,8601750.365141299,168.0891243132667,near-field,D20250206,2025-02-06,0.013504273,0
D30001700107,-12.6463354,28.03675836,612590.1473600782,8601751.153397985,164.74789672617075,near-field,D20250206,2025-02-06,0.76803416,0
D30001700113,-12.64629261,28.03657453,612570.2005071769,8601755.96505737,144.34229821643473,near-field,D20250206,2025-02-06,0.43350428,0
D30001700190,-12.64575023,28.03424442,612317.3666309312,8601816.95345963,0.0,core,D20250206,2025-02-06,0.8758974,0
D30001700338,-12.64464099,28.02948223,611800.6318860637,8601941.674296178,87.63194915590975,buffer,D20250206,2025-02-06,0.0044444446,0
D30001700340,-12.64462614,28.0294185,611793.7166608099,8601943.343925467,88.97275383221684,buffer,D20250206,2025-02-06,0.03008547,0
D30001700430,-12.64399495,28.02670708,611499.5045602174,8602014.309977012,145.94885699008168,near-field,D20250206,2025-02-06,0.5694017,0
D30001700431,-12.64398801,28.02667727,611496.2699153973,8602015.090237582,146.57530836101506,near-field,D20250206,2025-02-06,0.0,0
D30001700494,-12.64353971,28.02475187,611287.3469405178,8602065.491467183,187.2007947226194,near-field,D20250206,2025-02-06,0.74239314,0
D30001700495,-12.64353249,28.02472085,611283.9809892359,8602066.303185008,188.02210616682245,near-field,D20250206,2025-02-06,0.87709403,0
D30001700497,-12.643518,28.02465864,611277.2306441611,8602067.932221668,189.85006724728638,near-field,D20250206,2025-02-06,0.99880344,1
D30001700498,-12.64351074,28.02462745,611273.8462460365,8602068.748434503,190.85453846805237,near-field,D20250206,2025-02-06,0.99914527,1
