ID,Fi,Lambda,E,N,epoch_label,risk_pk
D10119519484,-33.48691191,148.99661227,685498.8,6292948.1,D20170805,0.15162905
D10119519486,-33.48689582,148.9965437,685492.4,6292950.0,D20170805,0.06171473
D10119519487,-33.48688785,148.99650974,685489.3,6292951.0,D20170805,0.24988139
D10119519490,-33.48686421,148.99640897,685480.0,6292953.8,D20170805,0.09306284
D10119519493,-33.48684075,148.99630894,685470.8,6292956.6,D20170805,0.55193126
D10119519495,-33.48682531,148.99624315,685464.7000000001,6292958.4,D20170805,0.7822351
D10119519498,-33.4868031,148.99614837,685455.9,6292961.0,D20170805,0.11055306
D10119519500,-33.48678809,148.99608437,685449.9999999999,6292962.8,D20170805,0.0059245448
D10119519501,-33.48678057,148.99605229,685447.0,6292963.7,D20170805,0.023008509
D10119519504,-33.48675826,148.99595716,685438.2,6292966.3,D20170805,0.11307624
D10119519505,-33.48675124,148.99592718,685435.5,6292967.2,D20170805,0.0062786373
D10119519506,-33.48674422,148.99589719,685432.7000000001,6292968.0,D20170805,0.0013094647
D10119519507,-33.48673718,148.99586713,685429.9,6292968.8,D20170805,0.27097237
D10119519508,-33.48673029,148.99583772,685427.2,6292969.6,D20170805,0.115231276
D10119519509,-33.48672321,148.99580753,685424.4,6292970.5,D20170805,0.46530706
D10119519516,-33.4866712,148.99558566,685403.9,6292976.6,D20170805,0.16274287
D10119519517,-33.48666367,148.99555356,685400.9,6292977.5,D20170805,0.0658603
D10119519518,-33.48665598,148.99552078,685397.9,6292978.4,D20170805,0.18530749
D10119519519,-33.48664831,148.99548805,685394.9,6292979.4,D20170805,0.025723726
D10119519520,-33.48664065,148.99545542,685391.9,6292980.3,D20170805,0.04305612
D10119519521,-33.48663301,148.99542284,685388.9,6292981.2,D20170805,0.021720903
D10119519522,-33.48662399,148.99538443,685385.3,6292982.2,D20170805,0.48786402
D10119519524,-33.48660609,148.99530826,685378.3,6292984.4,D20170805,0.009352368
D10119519525,-33.48659712,148.9952701,685374.7,6292985.4,D20170805,0.28323022
D10119519526,-33.48658816,148.99523194,685371.2,6292986.5,D20170805,0.004115392
D10119519527,-33.4865792,148.99519379,685367.7,6292987.5,D20170805,0.11781676
D10119519528,-33.48657023,148.99515565,685364.2,6292988.6,D20170805,0.03282047
D10119519529,-33.48656099,148.99511631,685360.5,6292989.7,D20170805,0.0027906932
D10119519530,-33.48655141,148.99507556,685356.8,6292990.8,D20170805,0.0067468584
D10119519531,-33.48654199,148.99503552,685353.1,6292992.0,D20170805,0.02017007
D10119519533,-33.48652278,148.9949538,685345.5,6292994.2,D20170805,0.025017042
D10119519534,-33.48651312,148.99491274,685341.7,6292995.4,D20170805,0.0015869425
D10119519536,-33.48649438,148.99483299,685334.3,6292997.600000001,D20170805,0.08720502
D10119519537,-33.48648518,148.99479386,685330.7,6292998.7,D20170805,0.16300428
D10119519538,-33.48647599,148.99475476,685327.1,6292999.8,D20170805,0.3254469
D10119519539,-33.4864668,148.99471568,685323.5,6293000.9,D20170805,0.15194164
D10119519540,-33.48645762,148.99467661,685319.9,6293002.0,D20170805,0.08959005
D10119519541,-33.48644844,148.99463753,685316.3,6293002.999999999,D20170805,0.069487
D10119519542,-33.48643925,148.99459846,685312.7000000001,6293004.1,D20170805,0.005367306
D10119519543,-33.48643077,148.99456235,685309.3,6293005.1,D20170805,0.0133773275
D10119519544,-33.48642234,148.99452643,685305.9999999999,6293006.1,D20170805,0.119928785
D10119519545,-33.48641397,148.99449079,685302.7,6293007.1,D20170805,0.001687402
D10119519546,-33.48640565,148.99445535,685299.4,6293008.1,D20170805,0.004005375
D10119519547,-33.48639738,148.9944201,685296.2,6293009.1,D20170805,0.08280987
D10119519550,-33.48637293,148.99431593,685286.6,6293012.0,D20170805,0.2307406
D10119519551,-33.48636429,148.99427916,685283.2,6293013.000000001,D20170805,0.056913894
D10119519552,-33.48635556,148.994242,685279.7,6293014.0,D20170805,0.08866853
D10119519554,-33.48633843,148.99416904,685273.0,6293016.1,D20170805,0.19889462
D10119519555,-33.48632976,148.99413216,685269.6,6293017.1,D20170805,0.11638363
D10119519556,-33.48632078,148.99409394,685265.9999999999,6293018.2,D20170805,0.22924785
D10119519560,-33.48628576,148.99394488,685252.3,6293022.3,D20170805,0.07158843
D10119519574,-33.48616014,148.99341026,685202.9,6293037.2,D20170805,0.17774735
